epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,53.6398,1.63619,1.0429,0.74536,0.90209,0.81579,0.84323,0.47157,1.63014,0.91736,0.75161,0.0007922,0.0007922,0.0007922
63,54.3369,1.58749,1.0599,0.73377,0.91083,0.80656,0.85153,0.44612,1.7098,1.0311,0.76045,0.0007724,0.0007724,0.0007724
64,55.0352,1.62705,1.0361,0.76471,0.92954,0.81579,0.86072,0.47036,1.76803,1.11209,0.77722,0.0007526,0.0007526,0.0007526
65,55.7114,1.64789,1.05162,0.74035,0.92786,0.78947,0.86652,0.47316,1.75702,1.07703,0.77745,0.0007328,0.0007328,0.0007328
66,56.4015,1.65556,1.06163,0.74208,0.92938,0.78947,0.86541,0.4856,1.70848,1.00505,0.76918,0.000713,0.000713,0.000713
67,57.0996,1.42382,0.93131,0.76722,0.93899,0.81024,0.87014,0.50155,1.64422,0.96829,0.75635,0.0006932,0.0006932,0.0006932
68,57.7887,1.46439,1.02803,0.75999,0.95645,0.76316,0.86171,0.44409,1.85794,1.10689,0.77951,0.0006734,0.0006734,0.0006734
69,58.4627,1.54114,0.96428,0.76069,0.95204,0.76316,0.85526,0.44047,1.8598,1.19184,0.76498,0.0006536,0.0006536,0.0006536
70,59.1475,1.62873,0.99515,0.74988,0.9442,0.76316,0.84246,0.4574,1.61187,1.23333,0.75436,0.0006338,0.0006338,0.0006338
71,59.8311,1.73265,0.9641,0.75067,0.91629,0.68421,0.82826,0.43585,1.63556,1.29886,0.76344,0.000614,0.000614,0.000614
72,60.5193,1.5165,0.98269,0.78849,0.90895,0.78819,0.86744,0.4518,1.69874,1.12375,0.76199,0.0005942,0.0005942,0.0005942
73,61.1921,1.53474,0.93059,0.77257,0.88573,0.78947,0.87121,0.47937,1.67195,1.02333,0.76029,0.0005744,0.0005744,0.0005744
74,61.8778,1.72979,1.0436,0.76159,0.94848,0.78947,0.88238,0.4821,1.62903,0.9635,0.75264,0.0005546,0.0005546,0.0005546
75,62.5695,1.48592,0.93186,0.76,0.91787,0.81579,0.8804,0.48219,1.64903,0.94593,0.75154,0.0005348,0.0005348,0.0005348
76,63.2619,1.54684,0.92215,0.74521,0.93768,0.79194,0.85008,0.50016,1.58256,0.97884,0.75555,0.000515,0.000515,0.000515
77,63.9333,1.64536,0.9089,0.76167,0.96158,0.81579,0.86591,0.48649,1.62106,1.02433,0.76055,0.0004952,0.0004952,0.0004952
78,64.6182,1.45208,0.91188,0.75343,0.95036,0.78947,0.86417,0.46846,1.67697,1.056,0.7645,0.0004754,0.0004754,0.0004754
79,65.3069,1.5545,0.86978,0.76035,0.90282,0.84211,0.86232,0.47815,1.58225,1.02636,0.75637,0.0004556,0.0004556,0.0004556
80,65.9949,1.57429,0.85352,0.7563,0.90007,0.81579,0.8648,0.48512,1.54515,1.00753,0.75875,0.0004358,0.0004358,0.0004358
81,66.668,1.55617,0.90439,0.7599,0.91113,0.81579,0.86458,0.47061,1.64636,1.02545,0.76149,0.000416,0.000416,0.000416
82,67.3562,1.52534,0.89452,0.77558,0.91587,0.84211,0.87445,0.46928,1.68133,1.00973,0.75789,0.0003962,0.0003962,0.0003962
83,68.0433,1.48008,0.92628,0.73711,0.96389,0.84211,0.87883,0.47733,1.65765,1.02209,0.75431,0.0003764,0.0003764,0.0003764
84,68.7316,1.59445,0.96408,0.76165,0.94664,0.84211,0.87019,0.48687,1.64982,1.01755,0.75308,0.0003566,0.0003566,0.0003566
85,69.4047,1.51728,0.88679,0.74157,0.95793,0.84211,0.87364,0.47771,1.64174,1.01509,0.75521,0.0003368,0.0003368,0.0003368
86,70.0892,1.5217,0.8604,0.74618,0.94286,0.81579,0.87598,0.48883,1.60323,1.02748,0.76792,0.000317,0.000317,0.000317
87,70.7746,1.39977,0.80281,0.7521,0.95572,0.81579,0.8784,0.49323,1.61237,1.00613,0.76462,0.0002972,0.0002972,0.0002972
88,71.5035,1.41101,0.77682,0.74498,0.93977,0.82129,0.88006,0.47096,1.66148,1.00835,0.77082,0.0002774,0.0002774,0.0002774
89,72.1775,1.45235,0.84204,0.75977,0.93924,0.81363,0.88205,0.47452,1.67279,1.02117,0.77134,0.0002576,0.0002576,0.0002576
90,72.8637,1.58459,0.87244,0.72668,0.94113,0.84148,0.88359,0.47911,1.64639,0.96727,0.76796,0.0002378,0.0002378,0.0002378
91,74.2737,1.25795,0.84476,0.77745,0.93283,0.84211,0.88663,0.50075,1.57571,0.91477,0.76269,0.000218,0.000218,0.000218
92,74.9787,1.24233,0.78255,0.74512,0.94092,0.83834,0.88978,0.49994,1.56316,0.89259,0.76461,0.0001982,0.0001982,0.0001982
93,75.6498,1.2163,0.79189,0.75362,0.9403,0.82912,0.89138,0.5146,1.58548,0.8917,0.76147,0.0001784,0.0001784,0.0001784
94,76.3655,1.28682,0.81744,0.74951,0.9929,0.78947,0.89466,0.49891,1.65241,0.90013,0.75704,0.0001586,0.0001586,0.0001586
95,77.0531,1.45959,0.8963,0.75007,1,0.80876,0.89564,0.48504,1.63846,0.9075,0.75318,0.0001388,0.0001388,0.0001388
96,77.7455,1.33837,0.86752,0.75527,1,0.81104,0.89528,0.51208,1.59733,0.89639,0.75746,0.000119,0.000119,0.000119
97,78.4177,1.21064,0.75791,0.7528,1,0.80938,0.89562,0.50804,1.59894,0.89259,0.75766,9.92e-05,9.92e-05,9.92e-05
98,79.0994,1.33207,0.85187,0.74058,0.98971,0.78947,0.89264,0.50851,1.55174,0.88667,0.75425,7.94e-05,7.94e-05,7.94e-05
99,79.7858,1.21294,0.79374,0.76205,0.91512,0.84211,0.89114,0.50661,1.56842,0.91169,0.76124,5.96e-05,5.96e-05,5.96e-05
100,80.4659,1.30154,0.7934,0.75046,0.94097,0.81579,0.88972,0.49977,1.57605,0.89442,0.76234,3.98e-05,3.98e-05,3.98e-05
