epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1215.26,0.14214,0.71674,0.17121,0.16024,0.90644,0.99972,1,0.995,0.99253,0.99972,1,0.995,0.93285,0.15143,0.38565,0.24684,0.13449,0.45527,0.0006536,0.0006536,0.0006536
70,1232.66,0.14007,0.70788,0.17343,0.15348,0.90228,0.99973,1,0.995,0.99367,0.99973,1,0.995,0.92781,0.14594,0.32812,0.24664,0.14159,0.4442,0.0006338,0.0006338,0.0006338
71,1250.09,0.13822,0.7042,0.17097,0.15272,0.90177,0.99973,1,0.995,0.99355,0.99973,1,0.995,0.96269,0.12993,0.25558,0.23619,0.12899,0.43108,0.000614,0.000614,0.000614
72,1267.76,0.13755,0.65049,0.17416,0.15214,0.90203,0.99971,1,0.995,0.9938,0.99971,1,0.995,0.95791,0.15161,0.26131,0.24701,0.14126,0.44648,0.0005942,0.0005942,0.0005942
73,1285.19,0.13653,0.68725,0.1772,0.1546,0.89849,0.99965,1,0.995,0.99479,0.99965,1,0.995,0.96522,0.12397,0.23178,0.2308,0.1183,0.41764,0.0005744,0.0005744,0.0005744
74,1302.83,0.13932,0.67541,0.16943,0.15312,0.89875,0.99973,1,0.995,0.99384,0.99973,1,0.995,0.96369,0.1358,0.23959,0.24569,0.11933,0.42494,0.0005546,0.0005546,0.0005546
75,1320.25,0.13714,0.64376,0.16594,0.15121,0.89942,0.99973,1,0.995,0.99368,0.99973,1,0.995,0.96687,0.12498,0.23511,0.23093,0.11745,0.41718,0.0005348,0.0005348,0.0005348
76,1337.93,0.13408,0.67925,0.16578,0.14718,0.90032,0.99973,1,0.995,0.99364,0.99973,1,0.995,0.95626,0.13159,0.32546,0.24776,0.12049,0.43027,0.000515,0.000515,0.000515
77,1355.49,0.13211,0.66018,0.16946,0.14364,0.90052,0.99972,1,0.995,0.99202,0.99972,1,0.995,0.95618,0.12122,0.26618,0.23226,0.11869,0.41364,0.0004952,0.0004952,0.0004952
78,1372.88,0.13189,0.6409,0.16899,0.14964,0.89589,0.9997,1,0.995,0.99102,0.9997,1,0.995,0.94277,0.12632,0.3176,0.23543,0.11148,0.42924,0.0004754,0.0004754,0.0004754
