epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,133.126,1.02234,0.52308,0.88315,0.95674,0.91182,0.95517,0.62278,1.26044,0.60193,1.0281,0.000580174,0.000580174,0.000580174
62,135.461,1.05122,0.53953,0.90817,0.94583,0.91363,0.95729,0.60956,1.25208,0.61374,1.02296,0.000566027,0.000566027,0.000566027
63,137.532,1.0405,0.53175,0.89927,0.94821,0.92713,0.95772,0.61673,1.24047,0.59166,1.01861,0.00055188,0.00055188,0.00055188
64,139.576,1.00139,0.51602,0.88664,0.95223,0.91262,0.95651,0.61203,1.25601,0.58953,1.02285,0.000537733,0.000537733,0.000537733
65,141.642,1.00399,0.51598,0.89766,0.95266,0.92414,0.95778,0.60812,1.26067,0.6009,1.0163,0.000523586,0.000523586,0.000523586
66,143.771,1.01376,0.52162,0.87964,0.93366,0.9266,0.95577,0.61338,1.23531,0.59221,1.01534,0.000509438,0.000509438,0.000509438
67,145.838,1.00417,0.51333,0.88353,0.93959,0.93051,0.95484,0.61046,1.25167,0.59497,1.01743,0.000495291,0.000495291,0.000495291
68,147.914,0.98914,0.51324,0.8679,0.94672,0.92962,0.95755,0.60831,1.26427,0.58871,1.02444,0.000481144,0.000481144,0.000481144
69,149.987,1.00981,0.50577,0.87787,0.94926,0.91711,0.95823,0.61521,1.25713,0.58878,1.02113,0.000466997,0.000466997,0.000466997
70,152.06,0.97174,0.50341,0.87112,0.95827,0.91579,0.96063,0.62122,1.22319,0.56906,1.01257,0.00045285,0.00045285,0.00045285
71,154.136,0.99309,0.50643,0.87266,0.94195,0.9305,0.96019,0.60397,1.26055,0.57928,1.01383,0.000438703,0.000438703,0.000438703
72,156.205,0.96859,0.4953,0.87456,0.96632,0.90496,0.957,0.61744,1.22593,0.56858,1.00951,0.000424556,0.000424556,0.000424556
73,158.281,0.95954,0.49276,0.86707,0.96264,0.91254,0.94926,0.6088,1.26635,0.58432,1.0098,0.000410409,0.000410409,0.000410409
74,160.342,0.96699,0.49129,0.87039,0.94882,0.93381,0.95805,0.62298,1.22836,0.57062,1.00986,0.000396262,0.000396262,0.000396262
75,162.675,0.93839,0.4772,0.86198,0.9318,0.95666,0.9617,0.61792,1.22226,0.56321,1.01872,0.000382115,0.000382115,0.000382115
76,164.747,0.92855,0.47644,0.87051,0.92801,0.93225,0.96078,0.60977,1.2672,0.57079,1.02612,0.000367967,0.000367967,0.000367967
77,166.811,0.91655,0.47576,0.86672,0.92114,0.92773,0.95854,0.62039,1.23757,0.56459,1.0324,0.00035382,0.00035382,0.00035382
78,168.862,0.94915,0.48438,0.87134,0.94293,0.92408,0.96195,0.62416,1.24562,0.57234,1.02432,0.000339673,0.000339673,0.000339673
79,171.167,0.91728,0.46877,0.86361,0.95373,0.91868,0.9583,0.62122,1.22938,0.56753,1.02261,0.000325526,0.000325526,0.000325526
80,173.235,0.91091,0.46488,0.86608,0.94837,0.92531,0.95848,0.62375,1.21187,0.55362,1.01821,0.000311379,0.000311379,0.000311379
81,175.301,0.91113,0.46738,0.86333,0.95251,0.93897,0.96567,0.62747,1.24293,0.56303,1.02254,0.000297232,0.000297232,0.000297232
82,177.627,0.8979,0.4614,0.85425,0.96861,0.91694,0.95968,0.62197,1.24214,0.56465,1.03042,0.000283085,0.000283085,0.000283085
83,179.695,0.8836,0.47033,0.85776,0.97512,0.92255,0.96009,0.62058,1.23439,0.56698,1.02837,0.000268938,0.000268938,0.000268938
84,181.765,0.87693,0.4548,0.87211,0.97012,0.93326,0.96582,0.62471,1.23587,0.56082,1.02752,0.000254791,0.000254791,0.000254791
85,183.827,0.89399,0.46628,0.86294,0.97102,0.92656,0.96833,0.62628,1.2461,0.56152,1.02672,0.000240644,0.000240644,0.000240644
86,185.886,0.91409,0.46917,0.84975,0.96631,0.93297,0.96646,0.62809,1.23599,0.55228,1.01922,0.000226497,0.000226497,0.000226497
87,188.201,0.87681,0.45806,0.84433,0.96798,0.92952,0.96264,0.62808,1.21531,0.55836,1.01892,0.000212349,0.000212349,0.000212349
88,190.272,0.87674,0.45009,0.84267,0.95501,0.92653,0.95821,0.62512,1.22006,0.54859,1.01612,0.000198202,0.000198202,0.000198202
89,192.364,0.89915,0.46194,0.84707,0.96225,0.935,0.96404,0.6213,1.2089,0.54978,1.01979,0.000184055,0.000184055,0.000184055
90,194.445,0.8685,0.45296,0.8477,0.96175,0.93239,0.96339,0.61777,1.2312,0.55704,1.02278,0.000169908,0.000169908,0.000169908
91,197.093,0.83006,0.43252,0.86786,0.96678,0.93464,0.96173,0.62421,1.22453,0.55382,1.01877,0.000155761,0.000155761,0.000155761
92,199.178,0.82368,0.42418,0.86448,0.95689,0.94123,0.96092,0.62051,1.2312,0.55587,1.02547,0.000141614,0.000141614,0.000141614
93,201.254,0.81251,0.41728,0.86532,0.9696,0.93257,0.96237,0.62273,1.2265,0.54906,1.0245,0.000127467,0.000127467,0.000127467
94,203.336,0.81225,0.4196,0.85229,0.96456,0.93433,0.9628,0.62086,1.23982,0.54762,1.02755,0.00011332,0.00011332,0.00011332
95,205.412,0.79341,0.41531,0.85114,0.95751,0.92976,0.96114,0.62659,1.22884,0.54107,1.02796,9.91726e-05,9.91726e-05,9.91726e-05
96,207.485,0.78695,0.40453,0.85093,0.95931,0.93687,0.96167,0.6278,1.22347,0.53606,1.02833,8.50255e-05,8.50255e-05,8.50255e-05
97,209.57,0.77528,0.40046,0.85312,0.96245,0.93871,0.96254,0.62511,1.23759,0.54167,1.02928,7.08784e-05,7.08784e-05,7.08784e-05
98,211.663,0.79302,0.40834,0.85373,0.96344,0.93414,0.96214,0.62473,1.23659,0.54317,1.02938,5.67313e-05,5.67313e-05,5.67313e-05
99,213.735,0.7693,0.39797,0.8409,0.96506,0.92969,0.96568,0.62943,1.2266,0.54353,1.02635,4.25842e-05,4.25842e-05,4.25842e-05
100,216.036,0.77936,0.40579,0.8535,0.96527,0.93164,0.96281,0.62931,1.2286,0.54041,1.02504,2.84371e-05,2.84371e-05,2.84371e-05
